dup_group,directory,filename_min,filename_max,modified_time_mean,file_count
photo/Canon Minneskort 2015-06/iphone per 151014photo/iphone per bkpphoto/usa2015photo/iph per 150615,photo/Canon Minneskort 2015-06/iphone per 151014,IMG_20150611_143102.JPG,IMG_20150611_143102.JPG,2015-06-11 14:31:02.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphone mette 141107/860OKMZOphoto/2013/Iphone mette 2013photo/iphonemette 150925/860OKMZOphoto/DCIM/860OKMZOphoto/mette,photo/mette,IMG_20130228_114640.jpg,IMG_20130228_114640.jpg,2013-02-28 11:46:40.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphone mette 141107/860OKMZOphoto/2013/Iphone mette 2013photo/iphonemette 150925/860OKMZOphoto/DCIM/860OKMZOphoto/mette,photo/mette iphone dec 13,IMG_20130228_114640.jpg,IMG_20130228_114640.jpg,2013-02-28 11:46:40.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iph me 141207photo/iphone mette 141107/860OKMZOphoto/mette,photo/2013/Iphone mette 2013,IMG_20130226_122706.JPG,IMG_20130226_122706.JPG,2013-02-26 12:27:06.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iphone per bkpphoto/iphine per mars 2015photo/iph per 150615photo/usa2015,photo/usa2015,IMG_20150521_150239.JPG,IMG_20150521_150239.JPG,2015-05-21 15:02:39.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/DCIM/860OKMZOphoto/mettephoto/iphonemette 150925/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/2013/Iphone mette 2013,photo/DCIM/860OKMZO,IMG_0897.JPG,IMG_0897.JPG,2013-06-15 17:22:26.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/DCIM/860OKMZOphoto/mettephoto/iphonemette 150925/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/2013/Iphone mette 2013,photo/2014-10-11,IMG_0897.JPG,IMG_0897.JPG,2013-06-15 17:22:26.000000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014,photo/2014,IMG_3222.JPG,IMG_3222.JPG,2014-02-24 09:39:54.999000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014/Sälen 2014photo/2013/2. Februari/Sälenphoto/2014/Fotobok 2014,photo/2014/Fotobok 2014,IMG_3225.JPG,IMG_3225.JPG,2014-02-25 11:26:34.000000,1
photo/DCIM/823WGTMA/Islandphoto/2014-10-11photo/2013/Iphone mette 2013photo/iphone mette 141107/823WGTMAphoto/mettephoto/iphonemette 150925/823WGTMAphoto/mette iphone dec 13,photo/iphonemette 150925/823WGTMA,IMG_1019.JPG,IMG_1019.JPG,2013-07-09 16:22:23.000000,1
photo/DCIM/823WGTMA/Islandphoto/2014-10-11photo/2013/Iphone mette 2013photo/iphone mette 141107/823WGTMAphoto/mettephoto/iphonemette 150925/823WGTMAphoto/mette iphone dec 13,photo/iphone mette 141107/823WGTMA,IMG_1019.JPG,IMG_1019.JPG,2013-07-09 16:22:23.000000,1
photo/DCIM/823WGTMA/Islandphoto/2014-10-11photo/2013/Iphone mette 2013photo/iphone mette 141107/823WGTMAphoto/mettephoto/iphonemette 150925/823WGTMAphoto/mette iphone dec 13,photo/DCIM/823WGTMA/Island,IMG_1019.JPG,IMG_1019.JPG,2013-07-09 16:22:23.000000,1
photo/DCIM/823WGTMA/Islandphoto/2014-10-11photo/2013/Iphone mette 2013photo/iphone mette 141107/823WGTMAphoto/mettephoto/iphonemette 150925/823WGTMAphoto/mette iphone dec 13,photo/2014-10-11,IMG_1019.JPG,IMG_1019.JPG,2013-07-09 16:22:23.000000,1
photo/DCIM/823WGTMA/Islandphoto/2014-10-11photo/2013/Iphone mette 2013photo/iphone mette 141107/823WGTMAphoto/mettephoto/iphonemette 150925/823WGTMAphoto/mette iphone dec 13,photo/2013/Iphone mette 2013,IMG_20130709_142221.JPG,IMG_20130709_142221.JPG,2013-07-09 14:22:21.000000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014/Sälen 2014photo/2013/2. Februari/Sälenphoto/2014/Fotobok 2014,photo/CanonMinneskort 2013-08 -- 2014-03/104CANON,IMG_3225.JPG,IMG_3225.JPG,2014-02-25 11:26:34.000000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014/Sälen 2014photo/2013/2. Februari/Sälenphoto/2014/Fotobok 2014,photo/2014/Sälen 2014,IMG_3225.JPG,IMG_3225.JPG,2014-02-25 11:26:34.000000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014/Sälen 2014photo/2013/2. Februari/Sälenphoto/2014/Fotobok 2014,photo/2013/2. Februari/Sälen,IMG_3225.JPG,IMG_3225.JPG,2014-02-25 11:26:34.999000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014,photo/CanonMinneskort 2013-08 -- 2014-03/104CANON,IMG_3222.JPG,IMG_3222.JPG,2014-02-24 09:39:54.000000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014/Sälen 2014photo/2013/2. Februari/Sälen,photo/CanonMinneskort 2013-08 -- 2014-03/104CANON,IMG_3226.JPG,IMG_3226.JPG,2014-02-25 11:59:34.000000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014/Sälen 2014photo/2013/2. Februari/Sälen,photo/2014/Sälen 2014,IMG_3226.JPG,IMG_3226.JPG,2014-02-25 11:59:34.000000,1
photo/CanonMinneskort 2013-08 -- 2014-03/104CANONphoto/2014/Sälen 2014photo/2013/2. Februari/Sälen,photo/2013/2. Februari/Sälen,IMG_3226.JPG,IMG_3226.JPG,2014-02-25 11:59:34.999000,1
photo/2014-10-11photo/mette iphone dec 13photo/2013/Iphone mette 2013photo/iphone mette 141107/860OKMZOphoto/mettephoto/DCIM/860OKMZOphoto/iphonemette 150925/860OKMZO,photo/iphonemette 150925/860OKMZO,IMG_0915.JPG,IMG_0915.JPG,2013-06-16 12:10:58.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/2013/Iphone mette 2013photo/iphone mette 141107/860OKMZOphoto/mettephoto/DCIM/860OKMZOphoto/iphonemette 150925/860OKMZO,photo/mette,IMG_20130616_111058(1).jpg,IMG_20130616_111058(1).jpg,2013-06-16 11:10:58.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/2013/Iphone mette 2013photo/iphone mette 141107/860OKMZOphoto/mettephoto/DCIM/860OKMZOphoto/iphonemette 150925/860OKMZO,photo/mette iphone dec 13,IMG_20130616_111058.jpg,IMG_20130616_111058.jpg,2013-06-16 11:10:58.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/DCIM/860OKMZOphoto/mettephoto/iphonemette 150925/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/2013/Iphone mette 2013,photo/2013/Iphone mette 2013,IMG_20130615_162224.JPG,IMG_20130615_162224.JPG,2013-06-15 16:22:24.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iphone per bkpphoto/iphine per mars 2015photo/iph per 150615photo/usa2015,photo/iphone per bkp,IMG_20150521_150239.JPG,IMG_20150521_150239.JPG,2015-05-21 15:02:39.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iphone per bkpphoto/iphine per mars 2015photo/iph per 150615photo/usa2015,photo/iphine per mars 2015,IMG_20150521_150239.JPG,IMG_20150521_150239.JPG,2015-05-21 15:02:39.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iphone per bkpphoto/iphine per mars 2015photo/iph per 150615photo/usa2015,photo/iph per 150615,IMG_20150521_150239.JPG,IMG_20150521_150239.JPG,2015-05-21 15:02:39.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/mettephoto/2013/Iphone mette 2013photo/iphonemette 150925/823WGTMAphoto/DCIM/823WGTMA/Islandphoto/iphone mette 141107/823WGTMA,photo/2013/Iphone mette 2013,IMG_20130708_162450.JPG,IMG_20130708_162450.JPG,2013-07-08 16:24:50.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/mette,photo/DCIM/860OKMZO,IMG_0925.JPG,IMG_0925.JPG,2013-06-16 13:25:34.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/mette,photo/iphone mette 141107/860OKMZO,IMG_0925.JPG,IMG_0925.JPG,2013-06-16 13:25:34.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/mette,photo/iphonemette 150925/860OKMZO,IMG_0925.JPG,IMG_0925.JPG,2013-06-16 13:25:34.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/mette,photo/mette,IMG_20130616_122533.jpg,IMG_20130616_122533.jpg,2013-06-16 12:25:33.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/mette,photo/mette iphone dec 13,IMG_20130616_122533.jpg,IMG_20130616_122533.jpg,2013-06-16 12:25:33.000000,1
photo/AlexandrasPC2013/1.Foto/20.Augusti 2011/Ridläger 2011/Sanna-Plexusphoto/bilder2010-2011/20.Augusti 2011/Ridläger 2011/Sanna-Plexus,photo/bilder2010-2011/20.Augusti 2011/Ridläger 2011/Sanna-Plexus,IMG_9858.JPG,IMG_9858.JPG,2011-08-06 21:09:46.000000,1
photo/AlexandrasPC2013/1.Foto/20.Augusti 2011/Ridläger 2011/Sanna-Plexusphoto/bilder2010-2011/20.Augusti 2011/Ridläger 2011/Sanna-Plexus,photo/AlexandrasPC2013/1.Foto/20.Augusti 2011/Ridläger 2011/Sanna-Plexus,IMG_9858.JPG,IMG_9858.JPG,2011-08-06 21:09:46.161000,1
photo/2014-10-11photo/mette iphone dec 13photo/mettephoto/2013/Iphone mette 2013photo/iphonemette 150925/823WGTMAphoto/DCIM/823WGTMA/Islandphoto/iphone mette 141107/823WGTMA,photo/2014-10-11,IMG_1005.JPG,IMG_1005.JPG,2013-07-08 18:24:51.000000,1
photo/AlexandrasPC2013/1.Fotophoto/2012,photo/2012,jpeg.jpg,jpeg.jpg,2012-12-08 21:42:10.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/mettephoto/2013/Iphone mette 2013photo/iphonemette 150925/823WGTMAphoto/DCIM/823WGTMA/Islandphoto/iphone mette 141107/823WGTMA,photo/DCIM/823WGTMA/Island,IMG_1005.JPG,IMG_1005.JPG,2013-07-08 18:24:51.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/mettephoto/2013/Iphone mette 2013photo/iphonemette 150925/823WGTMAphoto/DCIM/823WGTMA/Islandphoto/iphone mette 141107/823WGTMA,photo/iphone mette 141107/823WGTMA,IMG_1005.JPG,IMG_1005.JPG,2013-07-08 18:24:51.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/mettephoto/2013/Iphone mette 2013photo/iphonemette 150925/823WGTMAphoto/DCIM/823WGTMA/Islandphoto/iphone mette 141107/823WGTMA,photo/iphonemette 150925/823WGTMA,IMG_1005.JPG,IMG_1005.JPG,2013-07-08 18:24:51.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/mettephoto/2013/Iphone mette 2013photo/iphonemette 150925/823WGTMAphoto/DCIM/823WGTMA/Islandphoto/iphone mette 141107/823WGTMA,photo/mette,IMG_20130708_162450.jpg,IMG_20130708_162450.jpg,2013-07-08 16:24:50.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/mettephoto/2013/Iphone mette 2013photo/iphonemette 150925/823WGTMAphoto/DCIM/823WGTMA/Islandphoto/iphone mette 141107/823WGTMA,photo/mette iphone dec 13,IMG_20130708_162450.jpg,IMG_20130708_162450.jpg,2013-07-08 16:24:50.000000,1
photo/2014-10-11photo/mettephoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/mette iphone dec 13photo/iphone mette 141107/860OKMZOphoto/iphonemette 150925/860OKMZO,photo/2013/Iphone mette 2013,IMG_20130227_122424.JPG,IMG_20130227_122424.JPG,2013-02-27 12:24:24.000000,1
photo/AlexandrasPC2013/1.Foto/20.Augusti 2011/Ridläger 2011/Emilia-Sjärnöga Michelle-Bezaphoto/bilder2010-2011/20.Augusti 2011/Ridläger 2011/Emilia-Sjärnöga Michelle-Beza,photo/bilder2010-2011/20.Augusti 2011/Ridläger 2011/Emilia-Sjärnöga Michelle-Beza,IMG_9988.JPG,IMG_9988.JPG,2011-08-06 19:54:11.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/mette,photo/2014-10-11,IMG_0925.JPG,IMG_0925.JPG,2013-06-16 13:25:34.000000,1
photo/AlexandrasPC2013/1.Fotophoto/2012,photo/AlexandrasPC2013/1.Foto,jpeg.jpg,jpeg.jpg,2012-12-08 21:42:10.217000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iphone per bkpphoto/iphine per mars 2015photo/iph per 150615photo/usa2015,photo/Canon Minneskort 2015-06/iphone per 151014,IMG_20150521_150239.JPG,IMG_20150521_150239.JPG,2015-05-21 15:02:39.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/2016-12/julbok2015/07-14 niagara,photo/2016-12/julbok2015/07-14 niagara,IMG_20150714_163156.JPG,IMG_20150714_163156.JPG,2015-12-05 09:45:56.949000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iph me 141207photo/iphone mette 141107/860OKMZOphoto/mette,photo/2014-10-11,IMG_0649.JPG,IMG_0649.JPG,2013-02-26 12:27:07.000000,1
